OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
244749,,070200090903,,Big Twin Lake-Elm Creek,Big Twin Lake-Elm Creek,,,,,,
244753,,070200090901,,Headwaters Elm Creek,Headwaters Elm Creek,,,,,,
244755,,071000010703,,North Heron Lake,North Heron Lake,,,,,,
244759,,070200100502,,Judicial Ditch No 72,Judicial Ditch No 72,,,,,,
244760,,070200090904,,Cedar Creek,Cedar Creek,,,,,,
244761,,071000010805,,City of Windom-Des Moines River,City of Windom-Des Moines River,,,,,,
244762,,070200100403,,Willow Creek,Willow Creek,,,,,,
244763,,070200091002,,Judicial Ditch No 82,Judicial Ditch No 82,,,,,,
244764,,070200091001,,Judicial Ditch No 116,Judicial Ditch No 116,,,,,,
244765,,071000010704,,Heron Lake Outlet,Heron Lake Outlet,,,,,,
244768,,070200100503,,Upper Perch Creek,Upper Perch Creek,,,,,,
244769,,070200091003,,Judicial Ditch No 86,Judicial Ditch No 86,,,,,,
244770,,070200100402,,Upper South Fork Watonwan River,Upper South Fork Watonwan River,,,,,,
244773,,070200091101,,County Ditch No 24-Blue Earth River,County Ditch No 24-Blue Earth River,,,,,,
244774,,071000010404,,Clear Lake-Des Moines River,Clear Lake-Des Moines River,,,,,,
244779,,071000010802,,String Lakes-Des Moines River,String Lakes-Des Moines River,,,,,,
244781,,070200100401,,Bingham Lake,Bingham Lake,,,,,,
244782,,070200091004,,Willow Creek,Willow Creek,,,,,,
244786,,071000010801,,Judicial Ditch No 30,Judicial Ditch No 30,,,,,,
244790,,071000010804,,Cottonwood Lake,Cottonwood Lake,,,,,,
244796,,071000010803,,Harder Lake-Des Moines River,Harder Lake-Des Moines River,,,,,,
244799,,070200100101,,Headwaters Watonwan River,Headwaters Watonwan River,,,,,,
244804,,070200100606,,Watonwan River,Watonwan River,,,,,,
244811,,070200091102,,City of Vernon Center-Blue Earth River,City of Vernon Center-Blue Earth River,,,,,,
244816,,070200070902,,Lake Crystal,Lake Crystal,,,,,,
244823,,070200091103,,Blue Earth River,Blue Earth River,,,,,,
245847,,070600020208,,Falcon Springs State Wildlife Area-Upper Iowa River,Falcon Springs State Wildlife Area-Upper Iowa River,,,,,,
245848,,070600020302,,Canoe Creek,Canoe Creek,,,,,,
245849,,070600020605,,Clear Creek-Upper Iowa River,Clear Creek-Upper Iowa River,,,,,,
245850,,070600020606,,Upper Iowa River,Upper Iowa River,,,,,,
245851,,070600020107,,Town of Granger-Upper Iowa River,Town of Granger-Upper Iowa River,,,,,,
245852,,070802010505,,Town of Otranto-Cedar River,Town of Otranto-Cedar River,,,,,,
245853,,070802020107,,Goose Creek-Shell Rock River,Goose Creek-Shell Rock River,,,,,,
245854,,070600020106,,City of Le Roy-Upper Iowa River,City of Le Roy-Upper Iowa River,,,,,,
245855,,070801020201,,Headwaters Wapsipinicon River,Headwaters Wapsipinicon River,,,,,,
245856,,070600020204,,Cold Water Creek,Cold Water Creek,,,,,,
245857,,070600020205,,Pine Creek,Pine Creek,,,,,,
245858,,070600020203,,Daisy Valley-Upper Iowa River,Daisy Valley-Upper Iowa River,,,,,,
245859,,070600020501,,North Bear Creek,North Bear Creek,,,,,,
245860,,070802010703,,City of Stacyville-Little Cedar River,City of Stacyville-Little Cedar River,,,,,,
245861,,070600010402,,Lower Winnebago Creek,Lower Winnebago Creek,,,,,,
245862,,070802010402,,Headwaters Deer Creek,Headwaters Deer Creek,,,,,,
245863,,070600020502,,Waterloo Creek,Waterloo Creek,,,,,,
245864,,070802010504,,Otter Creek,Otter Creek,,,,,,
245865,,070600020104,,Beaver Creek,Beaver Creek,,,,,,
245866,,070600010401,,Upper Winnebago Creek,Upper Winnebago Creek,,,,,,
245867,,070802020106,,County Ditch No 55,County Ditch No 55,,,,,,
245868,,070600020101,,North Branch Upper Iowa River-Upper Iowa River,North Branch Upper Iowa River-Upper Iowa River,,,,,,
245869,,070802020105,,County Ditch No 16-Shell Rock River,County Ditch No 16-Shell Rock River,,,,,,
245870,,070400080403,,Canfield Creek,Canfield Creek,,,,,,
245871,,070802010502,,Judicial Ditch No 77-Cedar River,Judicial Ditch No 77-Cedar River,,,,,,
245872,,070600020102,,Little Iowa River,Little Iowa River,,,,,,
245873,,070400080802,,Wisel Creek,Wisel Creek,,,,,,
245874,,070600010505,,Town of New Albin-Mississippi River,Town of New Albin-Mississippi River,,,,,,
245875,,070400080402,,Etna Creek-South Branch Root River,Etna Creek-South Branch Root River,,,,,,
245876,,070802010701,,City of Adams,City of Adams,,,,,,
245877,,070600010202,,South Fork Crooked Creek,South Fork Crooked Creek,,,,,,
245878,,070400080801,,Upper Souh Fork Root River,Upper Souh Fork Root River,,,,,,
245879,,070802010702,,Village of Meyer-Little Cedar River,Village of Meyer-Little Cedar River,,,,,,
245880,,070802010302,,Lower Rose Creek,Lower Rose Creek,,,,,,
245881,,070400080406,,Willow Creek,Willow Creek,,,,,,
245882,,070802010503,,Woodbury Creek,Woodbury Creek,,,,,,
245883,,070400080407,,Camp Creek,Camp Creek,,,,,,
245884,,070400080401,,Headwaters South Branch Root River,Headwaters South Branch Root River,,,,,,
245885,,070802010501,,Orchard Creek,Orchard Creek,,,,,,
245886,,070600010203,,Clear Creek-Crooked Creek,Clear Creek-Crooked Creek,,,,,,
245887,,070600010201,,North Fork Crooked Creek,North Fork Crooked Creek,,,,,,
245888,,070400080405,,Town of Forestville-South Branch Root River,Town of Forestville-South Branch Root River,,,,,,
245889,,070400080404,,Forestville Creek,Forestville Creek,,,,,,
245890,,070400080804,,Riceford Creek,Riceford Creek,,,,,,
245891,,070802020104,,Albert Lea Lake,Albert Lea Lake,,,,,,
245892,,070802020103,,Peter Lund Creek,Peter Lund Creek,,,,,,
245893,,070400080409,,Duschee Creek,Duschee Creek,,,,,,
245894,,070802010301,,Upper Rose Creek,Upper Rose Creek,,,,,,
245895,,070400080805,,Beaver Creek,Beaver Creek,,,,,,
245896,,070400080803,,Middle South Fork Root River,Middle South Fork Root River,,,,,,
245897,,070600010503,,Wildcat Creek,Wildcat Creek,,,,,,
245898,,070400080205,,Spring Valley Creek,Spring Valley Creek,,,,,,
245899,,070400080410,,South Branch Root River,South Branch Root River,,,,,,
245900,,070802010103,,Judicial Ditch No 24,Judicial Ditch No 24,,,,,,
245901,,070400080408,,Watson Creek,Watson Creek,,,,,,
245902,,070400080202,,South Fork Bear Creek,South Fork Bear Creek,,,,,,
245903,,070802010205,,Dobbins Creek,Dobbins Creek,,,,,,
245904,,070400080206,,Deer Creek,Deer Creek,,,,,,
245905,,070802010104,,Turtle Creek,Turtle Creek,,,,,,
245906,,070400080701,,City of Whalan-Root River,City of Whalan-Root River,,,,,,
245907,,070400080903,,Thompson Creek,Thompson Creek,,,,,,
245908,,070400080806,,Lower South Fork Root River,Lower South Fork Root River,,,,,,
245909,,070400080201,,North Fork Bear Creek,North Fork Bear Creek,,,,,,
245910,,070400080902,,Cystal Creek,Cystal Creek,,,,,,
245911,,070802010206,,City of Austin-Cedar River,City of Austin-Cedar River,,,,,,
245912,,070802020101,,Bancroft Creek,Bancroft Creek,,,,,,
245913,,070600010504,,Lock and Dam #8-Mississippi River,Lock and Dam #8-Mississippi River,,,,,,
245914,,070400080204,,City of Racine-Bear Creek,City of Racine-Bear Creek,,,,,,
