OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
57021,,071000040909,,Village of Greene-Shell Rock River,City of Bouton-Beaver Creek,,,Oto,Oto city,,
57022,,070600061001,,Lower East Branch Wapsipinicon River,Pumpkin Creek-Maquoketa River,,,Grafton,Grafton city,,
57023,,071000061204,,Trulner Creek,Buttrick Creek,,,Fertile,Fertile city,,
57032,,070802051401,,Grannis Creek-Volga River,Headwaters Prairie Creek,,,Odebolt,Odebolt city,,
57036,,070802051507,,White Oak Creek-Walnut Creek,Silver Creek-Cedar River,,,Nemaha,Nemaha city,,
57037,,070802051203,,Dutch Creek-Wapsipinicon River,Little Bear Creek,,,Lake View,Lake View city,,
57039,,070801050702,,Drainage Ditch 18-Prairie Creek,Mud Creek-Clear Creek,,,Early,Early city,,
57041,,070801010202,,Lotts Creek,Mill Creek,,,Auburn,Auburn city,,
57043,,071000030805,,Hazleton Creek-Otter Creek,Drainage Ditch 182,,,Moville,Moville city,,
57044,,071000040502,,Hewett Creek,Ditch No 11,,,Lawton,Lawton city,,
57045,,070801050804,,South Avery Creek,Byers Branch-Indian Creek,,,Hornick,Hornick city,,
57046,,070801060105,,Bleubaugh Branch,Burr Oak Creek-North Skunk River,,,Danbury,Danbury city,,
57049,,070802070104,,North Fork Long Creek,West Branch Iowa River,,,Cushing,Cushing city,,
57050,,071000060805,,South Fork Long Creek,Rainbow Bend County Park-North Raccoon River,,,Correctionville,Correctionville city,,
57051,,070802051105,,Brophy Creek,Dudgeon Lake State Wildlife Management Area-Cedar River,,,Bronson,Bronson city,,
57052,,070802051301,,Headwaters Old Mans Creek,West Otter Creek,,,Anthon,Anthon city,,
57053,,070802050804,,Smith Creek,Fourmile Creek,,,Sioux City,Sioux City city,,
57054,,070802050203,,Buffington Creek,Drainage Ditch 148-Beaver Creek,,,Williamsburg,Williamsburg city,,
57055,,070801020602,,West Goose Lake-Wapsipinicon River,Village of Tripoli-Wapsipinicon River,,,Parnell,Parnell city,,
57056,,071000060201,,Clear Creek,Drainage Ditch 21-Cedar Creek,,,North English,North English city,,
57057,,070802050601,,Big Slough,Wilson Creek-Black Hawk Creek,,,Millersburg,Millersburg city,,
57058,,070802050501,,Lower Mud Creek,Holland Creek,,,Marengo,Marengo city,,
57059,,070801070701,,Devils Run,Rock Creek,,,Ladora,Ladora city,,
57072,,070801071003,,Bruggeman County Park-Wapsipinicon River,Mud Creek,,,Thor,Thor city,,
57075,,071000081503,,Saylor Creek-Des Moines River,Yeader Creek-Des Moines River,,,Rutland,Rutland city,,
57076,,071000080601,,Mud Creek,Fox Creek-Middle River,,,Renwick,Renwick city,,
57084,,071000081505,,Sink Creek-Cedar River,Walnut Creek,,,Pioneer,Pioneer city,,
57085,,071000081501,,Headwaters North Fork Black Hawk Creek,Spring Creek,,,Ottosen,Ottosen city,,
57086,,071000080103,,Dry Run,Lower Fourmile Creek,,,Livermore,Livermore city,,
