HUC_12,FEATUREID
071000070102,6619876
071000070702,6621674
071000070206,6620160
071000070401,6620504
071000070702,6620948
071000070203,6618052
071000070701,6621080
071000070205,6619714
071000070703,6621290
071000070903,6622764
071000070201,6617962
071000070202,6617892
071000070702,6620808
071000070402,6620286
071000070703,6621296
071000070903,6621466
071000070205,6619708
071000070205,6621558
071000070703,6621282
071000070701,6620954
071000070101,6618248
071000070701,6620920
071000070701,6621078
071000070703,6621696
071000070704,6621160
071000070205,6619720
071000070704,6621174
071000070203,6618026
071000070404,6620546
071000070206,6620080
071000070204,6619616
071000070202,6618046
071000070401,6620532
071000070403,6620794
071000070404,6620470
071000070201,6617922
071000070903,6621448
071000070402,6620260
071000070701,6621056
071000070204,6618246
071000070404,6620712
071000070404,6620696
071000070701,6621014
071000070903,6622732
071000070702,6621066
071000070101,6618098
071000070205,6619750
071000070704,6621178
071000070702,6621672
071000070703,6621308
071000070401,6620594
071000070205,6619706
071000070701,6621068
071000070201,6617906
071000070206,6620068
071000070701,6621064
071000070203,6618088
071000070402,6620386
071000070203,6618096
071000070403,6620790
071000070202,6617886
071000070101,6621704
071000070803,6620930
071000070903,6621426
071000070402,6620112
071000070701,6621118
071000070802,6620648
071000070702,6620822
071000070402,6621584
071000070402,6620190
071000070103,6619786
071000070903,6622748
071000070403,6620772
071000070204,6618210
071000070901,6621406
071000070402,6620334
071000070903,6622750
071000070202,6617984
071000070401,6620642
071000070202,6617934
071000070201,6617976
071000070502,6620890
071000070403,6620764
071000070704,6621142
071000070404,6620486
071000070202,6617950
071000070201,6617924
071000070401,6620548
071000070104,6620024
071000070704,6621176
071000070205,6619704
071000070401,6620622
071000070204,6619636
071000070204,6618268
071000070703,6621400
071000070702,6620722
071000070702,6620824
071000070204,6618266
071000070402,6621610
071000070401,6620536
071000070202,6618262
071000070901,6621420
071000070701,6620962
071000070703,6621074
071000070404,6620700
071000070903,6619440
071000070404,6621650
071000070203,6618082
071000070204,6618184
071000070402,6620376
071000070901,6621364
071000070903,6622740
071000070204,6619650
071000070701,6621012
071000070205,6619728
071000070702,6620886
071000070403,6620796
071000070205,6619666
071000070901,6621386
071000070701,6621214
071000070704,6621162
071000070206,6620146
071000070901,6621372
071000070205,6619740
071000070204,6619624
071000070803,6620910
071000070704,6621332
071000070704,6621130
071000070704,6621146
071000070903,6622738
071000070103,6619922
071000070403,6620760
071000070704,6621450
071000070402,6620430
071000070901,6621352
071000070501,6621588
071000070206,6620128
071000070704,6621158
071000070404,6620530
071000070901,6621388
071000070703,6621310
071000070704,6621192
071000070903,6621390
071000070704,6621380
071000070403,6621660
071000070402,6620380
071000070901,6621348
071000070701,6620964
071000070205,6619974
071000070702,6620798
071000070701,6621044
071000070704,6621168
071000070403,6620776
071000070704,6621198
071000070402,6620106
071000070704,6621184
071000070103,6621562
071000070202,6617954
071000070403,6620782
071000070704,6621408
071000070206,6620022
071000070101,6618176
071000070103,6619734
071000070402,6620390
071000070903,6622746
071000070202,6618094
071000070403,6620788
071000070401,6620534
071000070601,6620412
071000070404,6620488
071000070404,6620702
071000070901,6621402
071000070401,6620610
071000070701,6620932
071000070701,6620938
071000070903,6621492
071000070205,6619718
071000070404,6620618
071000070403,6620774
071000070401,6620506
071000070903,6621428
071000070803,6621028
071000070201,6617878
071000070904,6621264
071000070205,6619868
071000070101,6618182
071000070903,6622752
071000070502,6620318
071000070201,6617914
071000070902,6621002
071000070502,6620736
071000070104,6620064
071000070203,6618068
071000070204,6619618
071000070103,6619830
071000070204,6619744
071000070601,6620166
071000070203,6618140
071000070206,6620036
071000070602,6620426
071000070102,6619812
071000070203,6618050
071000070904,6621240
071000070502,6620498
071000070203,6617970
071000070903,6621776
071000070902,6621004
071000070904,6621052
071000070203,6618144
071000070502,6620834
071000070501,6621582
071000070902,6621006
071000070803,6620720
071000070206,6621774
071000070902,6620956
071000070602,6621634
071000070903,6622742
